asset,horizon,model,mae,rmse,directional_accuracy,interval_coverage,var_breach_rate,band_width,calibration_score,is_selected,is_baseline
ETHUSDT,3D,last_price_baseline,0.013681,0.016096,0.3750,0.8125,0.1875,0.0452,0.7646,FALSE,TRUE
ETHUSDT,3D,rolling_vol_baseline,0.013681,0.016096,0.3750,0.8125,0.1875,0.0452,0.7646,FALSE,TRUE
ETHUSDT,3D,garch,0.013705,0.016159,0.3750,0.8125,0.1250,0.0456,0.7644,FALSE,FALSE
ETHUSDT,3D,xgboost,0.019269,0.023022,0.3750,0.6250,0.1875,0.0405,0.4169,FALSE,FALSE
ETHUSDT,3D,historical_mean_baseline,0.013909,0.016477,0.3750,1.0000,0.0000,0.0715,0.3807,FALSE,TRUE
ETHUSDT,7D,rolling_mean_baseline,0.020332,0.024501,0.4375,0.8125,0.0000,0.0692,0.7415,TRUE,TRUE
ETHUSDT,7D,arima,0.020428,0.028065,0.6875,0.8750,0.0000,0.0680,0.6665,FALSE,FALSE
ETHUSDT,7D,last_price_baseline,0.018724,0.023060,0.3750,0.8750,0.0000,0.0691,0.6106,FALSE,TRUE
ETHUSDT,7D,rolling_vol_baseline,0.018724,0.023060,0.3750,0.8750,0.0000,0.0691,0.6106,FALSE,TRUE
ETHUSDT,7D,garch,0.019747,0.023071,0.2500,0.8750,0.0000,0.0694,0.5813,FALSE,FALSE
ETHUSDT,7D,ewma,0.017896,0.021037,0.5000,1.0000,0.0000,0.0713,0.3883,FALSE,FALSE
ETHUSDT,7D,xgboost,0.030465,0.040732,0.5000,0.4375,0.0625,0.0612,0.3448,FALSE,FALSE
ETHUSDT,7D,historical_mean_baseline,0.019868,0.023591,0.2500,1.0000,0.0000,0.1094,0.3188,FALSE,TRUE
ETHUSDT,30D,arima,0.055023,0.064809,0.7647,0.7647,0.0588,0.1439,0.6390,TRUE,FALSE
ETHUSDT,30D,last_price_baseline,0.055588,0.064784,0.3529,0.8235,0.0588,0.1470,0.5781,FALSE,TRUE
